시군구별,2011.07,2020.07
전국,50641565,51839852
서울특별시,10282472,9715429
부산광역시,3560813,3402776
대구광역시,2509833,2428022
인천광역시,2782458,2945565
광주광역시,1461368,1454709
대전광역시,1510468,1470225
울산광역시,1131325,1141362
세종특별자치시,0,346217
경기도,11874213,13351891
강원도,1532825,1540094
충청북도,1556984,1597936
충청남도,2090270,2120692
전라북도,1871388,1808044
전라남도,1913185,1853339
경상북도,2691181,2644001
경상남도,3298607,3347637
제주특별자치도,574175,671913
